period_date,next_open_date,symbol,tau,lower,upper,point,half_width_bps,regime_code,m_regime,checkpoint_sha256,checkpoint_through,forecaster_code,profile_code,artefact_sha256,provenance,computed_ts
2026-01-28,2026-01-29,NVDA,0.85,189.1221724,194.6967894,191.9094809,145.5361528,normal,0.9479698892,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,NVDA,0.95,187.3764146,196.4425472,191.9094809,236.6889204,normal,0.9922130166,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,NVDA,0.99,184.4861608,199.332801,191.9094809,387.6002463,normal,0.9748804058,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,QQQ,0.68,631.6582901,637.3570937,634.5076919,44.99860936,normal,0.937097212,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,QQQ,0.85,629.976126,639.0392579,634.5076919,71.56385075,normal,0.9479698892,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,QQQ,0.95,627.137898,641.8774858,634.5076919,116.3859993,normal,0.9922130166,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,QQQ,0.99,622.4389651,646.5764188,634.5076919,190.5929602,normal,0.9748804058,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,SPY,0.68,695.0837054,698.5846838,696.8341946,25.1716836,normal,0.937097212,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,SPY,0.85,694.050292,699.6180972,696.8341946,40.03196175,normal,0.9479698892,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,SPY,0.95,692.3066673,701.3617219,696.8341946,65.10493526,normal,0.9922130166,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,SPY,0.99,689.4199451,704.248444,696.8341946,106.6154212,normal,0.9748804058,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,TLT,0.68,87.44889145,87.84918807,87.64903976,22.84798086,normal,0.937097212,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,TLT,0.85,87.33073251,87.96734701,87.64903976,36.33644495,normal,0.9479698892,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,TLT,0.95,87.13136908,88.16671045,87.64903976,59.09482806,normal,0.9922130166,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,TLT,0.99,86.80130559,88.49677393,87.64903976,96.77330848,normal,0.9748804058,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,TSLA,0.68,429.6935536,434.9812703,432.337412,61.27702185,normal,0.937097212,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,TSLA,0.85,428.1327335,436.5420904,432.337412,97.45233704,normal,0.9479698892,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,TSLA,0.95,425.499243,439.1755809,432.337412,158.4890627,normal,0.9922130166,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-28,2026-01-29,TSLA,0.99,421.1392707,443.5355533,432.337412,259.5406647,normal,0.9748804058,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,AAPL,0.68,257.0527614,259.5072362,258.2799988,47.51577275,normal,0.9455691535,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,AAPL,0.85,256.3408985,260.219099,258.2799988,75.07744617,normal,0.9503427788,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,AAPL,0.95,255.1421224,261.4178752,258.2799988,121.4912659,normal,0.9897355821,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,AAPL,0.99,253.1311453,263.4288523,258.2799988,199.3516166,normal,0.9743930875,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,GLD,0.68,497.2606003,505.3554977,501.308049,81.61824425,normal,0.9455691535,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,GLD,0.85,494.912865,507.703233,501.308049,128.9611635,normal,0.9503427788,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,GLD,0.95,490.9592819,511.656816,501.308049,208.6865737,normal,0.9897355821,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,GLD,0.99,484.3270469,518.2890511,501.308049,342.4279558,normal,0.9743930875,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,GOOGL,0.68,335.6748232,340.8251768,338.25,76.13235062,normal,0.9455691535,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,GOOGL,0.85,334.1810839,342.3189161,338.25,120.29316,normal,0.9503427788,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,GOOGL,0.95,331.6656288,344.8343712,338.25,194.6599017,normal,0.9897355821,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,GOOGL,0.99,327.4458897,349.0541103,338.25,319.4119824,normal,0.9743930875,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,HOOD,0.68,100.2069833,102.2730124,101.2399979,102.0362093,normal,0.9455691535,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,HOOD,0.85,99.60777996,102.8722158,101.2399979,161.2226334,normal,0.9503427788,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,HOOD,0.95,98.59872236,103.8812734,101.2399979,260.8924893,normal,0.9897355821,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,HOOD,0.99,96.90600284,105.5739929,101.2399979,428.0911811,normal,0.9743930875,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,MSTR,0.68,141.2726305,145.1112373,143.1919339,134.0389257,normal,0.9455691535,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,MSTR,0.85,140.1593325,146.2245353,143.1919339,211.7886261,normal,0.9503427788,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,MSTR,0.95,138.2845403,148.0993275,143.1919339,342.7190134,normal,0.9897355821,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,MSTR,0.99,135.1395291,151.2443387,143.1919339,562.3580334,normal,0.9743930875,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
