weekend_date,mon_date,symbol,tau,lower,upper,point,half_width_bps,regime_code,forecaster_code,profile_code,artefact_sha256,provenance,computed_ts
2026-07-24,2026-07-27,TLT,0.99,82.29806753,84.65822845,83.47814799,141.7514067,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
2026-07-24,2026-07-27,TSLA,0.68,312.9392813,318.7555926,315.847437,92.90341712,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
2026-07-24,2026-07-27,TSLA,0.85,311.2814929,320.413381,315.847437,145.8628276,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
2026-07-24,2026-07-27,TSLA,0.95,307.8962649,323.7986091,315.847437,254.0067132,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
2026-07-24,2026-07-27,TSLA,0.99,303.3497915,328.3450824,315.847437,399.2475327,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
2026-05-01,2026-05-04,AAPL,0.68,277.8987667,283.4634892,280.6811279,99.32038455,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,AAPL,0.85,276.3126871,285.0495688,280.6811279,155.9377747,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,AAPL,0.95,273.0738896,288.2883663,280.6811279,271.551308,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,AAPL,0.99,268.7240773,292.6381786,280.6811279,426.8241116,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,GLD,0.68,418.6200944,427.5935272,423.1068108,106.0238291,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,GLD,0.85,416.0624505,430.1511711,423.1068108,166.4625046,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,GLD,0.95,410.8397046,435.373917,423.1068108,289.8791582,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,GLD,0.99,403.8253838,442.3882378,423.1068108,455.6318108,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,GOOGL,0.68,382.9876624,389.8823614,386.4350119,89.38135442,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,GOOGL,0.85,381.0225077,391.8475161,386.4350119,140.33302,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,GOOGL,0.95,377.009633,395.8603908,386.4350119,244.3770613,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,GOOGL,0.99,371.6202095,401.2498143,386.4350119,384.111654,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,HOOD,0.68,72.68227106,74.92229726,73.80228416,152.0517379,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,HOOD,0.85,72.04380979,75.56075853,73.80228416,238.7285325,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,HOOD,0.95,70.7400626,76.86450571,73.80228416,415.7238063,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,HOOD,0.99,68.98908696,78.61548136,73.80228416,653.4343201,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,MSTR,0.68,174.6280478,181.9773774,178.3027126,207.4089762,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,MSTR,0.85,172.5333123,184.0721129,178.3027126,325.6420557,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,MSTR,0.95,168.255832,188.3495931,178.3027126,567.0757218,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,MSTR,0.99,162.5110344,194.0943908,178.3027126,891.3291303,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,NVDA,0.68,196.6708851,200.9957804,198.8333328,108.9668737,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,NVDA,0.85,195.4381861,202.2284794,198.8333328,171.0832261,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,NVDA,0.95,192.9209968,204.7456687,198.8333328,297.9257201,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,NVDA,0.99,189.5403283,208.1263372,198.8333328,468.2793898,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,QQQ,0.68,670.325833,680.578589,675.452211,76.04209753,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,QQQ,0.85,667.4035513,683.5008707,675.452211,119.3897459,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,QQQ,0.95,661.4362096,689.4682125,675.452211,207.9062736,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,QQQ,0.99,653.4218721,697.48255,675.452211,326.7869015,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,SPY,0.68,716.9420541,727.1420099,722.042032,70.76913762,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,SPY,0.85,714.0348217,730.0492423,722.042032,111.1109455,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,SPY,0.95,708.0982109,735.9858531,722.042032,193.4895034,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,SPY,0.99,700.1251461,743.9589179,722.042032,304.1266345,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,TLT,0.68,85.24554198,86.04697814,85.64626006,46.80739156,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,TLT,0.85,85.01711343,86.27540669,85.64626006,73.48985319,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,TLT,0.95,84.550659,86.74186112,85.64626006,127.9758275,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,TLT,0.99,83.92419526,87.36832486,85.64626006,201.1522953,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,TSLA,0.68,386.7053299,396.4445125,391.5749212,124.5993371,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,TSLA,0.85,383.9294289,399.2204134,391.5749212,195.6269445,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,TSLA,0.95,378.2609989,404.8888435,391.5749212,340.6663508,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-01,2026-05-04,TSLA,0.99,370.6481096,412.5017328,391.5749212,535.4590763,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-08,2026-05-11,AAPL,0.68,289.8191125,295.4176317,292.6183721,95.43364227,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-08,2026-05-11,AAPL,0.85,288.2234,297.0133441,292.6183721,149.8354026,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-08,2026-05-11,AAPL,0.95,284.9649321,300.2718121,292.6183721,260.9245876,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-08,2026-05-11,AAPL,0.99,280.5887017,304.6480425,292.6183721,410.1210417,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-08,2026-05-11,GLD,0.68,427.0716638,436.0973025,431.5844831,104.0371468,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-08,2026-05-11,GLD,0.85,424.49914,438.6698262,431.5844831,163.3433181,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
2026-05-08,2026-05-11,GLD,0.95,419.2460091,443.9229572,431.5844831,284.4473814,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-22T02:57:27Z
