weekend_date,mon_date,symbol,tau,fri_close,sigma_hat,regime_code,half_width_bps,half_width_abs,forecaster_code,profile_code,artefact_sha256,computed_ts
2026-07-24,2026-07-27,TLT,0.95,83.25,0.004246667838,normal,90.18417387,0.7507832475,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-07-26T01:36:22Z
2026-07-24,2026-07-27,TLT,0.99,83.25,0.004246667838,normal,141.7514067,1.180080461,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-07-26T01:36:22Z
2026-07-24,2026-07-27,TSLA,0.68,313.0299988,0.01196088064,normal,92.90341712,2.908155655,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-07-26T01:36:22Z
2026-07-24,2026-07-27,TSLA,0.85,313.0299988,0.01196088064,normal,145.8628276,4.565944074,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-07-26T01:36:22Z
2026-07-24,2026-07-27,TSLA,0.95,313.0299988,0.01196088064,normal,254.0067132,7.951172113,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-07-26T01:36:22Z
2026-07-24,2026-07-27,TSLA,0.99,313.0299988,0.01196088064,normal,399.2475327,12.49764547,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-07-26T01:36:22Z
2026-07-31,2026-08-03,AAPL,0.68,308.9100037,0.008477572154,normal,65.84761152,2.034098591,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,AAPL,0.85,308.9100037,0.008477572154,normal,103.3839131,3.193632498,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,AAPL,0.95,308.9100037,0.008477572154,normal,180.0335864,5.561417584,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,AAPL,0.99,308.9100037,0.008477572154,normal,282.9766358,8.741431359,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,GLD,0.68,371.5400085,0.01016176632,normal,78.92920622,2.932535795,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,GLD,0.85,371.5400085,0.01016176632,normal,123.9226452,4.604222066,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,GLD,0.95,371.5400085,0.01016176632,normal,215.7999013,8.017829719,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,GLD,0.99,371.5400085,0.01016176632,normal,339.1940987,12.60241783,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,GOOGL,0.68,356.1300049,0.01084752819,normal,84.25570541,3.000598478,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,GOOGL,0.85,356.1300049,0.01084752819,normal,132.2855048,4.711083747,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,GOOGL,0.95,356.1300049,0.01084752819,normal,230.363053,8.203919519,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,GOOGL,0.99,356.1300049,0.01084752819,normal,362.0844479,12.89491362,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,HOOD,0.68,86.55999756,0.02168329971,normal,168.4200936,1.457844289,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,HOOD,0.85,86.55999756,0.02168329971,normal,264.4276371,2.288885562,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,HOOD,0.95,86.55999756,0.02168329971,normal,460.476436,3.985883917,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,HOOD,0.99,86.55999756,0.02168329971,normal,723.7764647,6.265008902,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,MSTR,0.68,93.27999878,0.03665504359,normal,284.7097054,2.655772097,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,MSTR,0.85,93.27999878,0.03665504359,normal,447.0079138,4.169689765,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,MSTR,0.95,93.27999878,0.03665504359,normal,778.4232134,7.26113164,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,MSTR,0.99,93.27999878,0.03665504359,normal,1223.524935,11.41304045,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,NVDA,0.68,200.75,0.01224342704,normal,95.09803196,1.909092992,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,NVDA,0.85,200.75,0.01224342704,normal,149.3084783,2.997367702,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,NVDA,0.95,200.75,0.01224342704,normal,260.0069974,5.219640472,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,NVDA,0.99,200.75,0.01224342704,normal,408.6787741,8.204226391,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,QQQ,0.68,687.9899902,0.008266813031,normal,64.21058802,4.417624182,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,QQQ,0.85,687.9899902,0.008266813031,normal,100.8137076,6.935882171,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,QQQ,0.95,687.9899902,0.008266813031,normal,175.5578096,12.07820157,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,QQQ,0.99,687.9899902,0.008266813031,normal,275.9416137,18.98450681,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,SPY,0.68,747.0300293,0.00594243063,normal,46.15647693,3.448027431,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,SPY,0.85,747.0300293,0.00594243063,normal,72.46788595,5.413568697,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,SPY,0.95,747.0300293,0.00594243063,normal,126.1961655,9.427232518,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,SPY,0.99,747.0300293,0.00594243063,normal,198.355024,14.81771594,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,TLT,0.68,82.25,0.004158745189,normal,32.30210638,0.265684825,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,TLT,0.85,82.25,0.004158745189,normal,50.71585869,0.4171379377,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,TLT,0.95,82.25,0.004158745189,normal,88.31700842,0.7264073943,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,TLT,0.99,82.25,0.004158745189,normal,138.8165976,1.141766516,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,TSLA,0.68,311.2099915,0.01170369073,normal,90.90575304,2.829077863,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,TSLA,0.85,311.2099915,0.01170369073,normal,142.726399,4.441788142,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,TSLA,0.95,311.2099915,0.01170369073,normal,248.544911,7.734965963,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-07-31,2026-08-03,TSLA,0.99,311.2099915,0.01170369073,normal,390.6626767,12.15781283,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-01T23:30:04Z
2026-08-07,2026-08-10,AAPL,0.68,313.3299866,0.008196324392,normal,63.66308356,1.994755312,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-08T23:30:04Z
2026-08-07,2026-08-10,AAPL,0.85,313.3299866,0.008196324392,normal,99.95409931,3.131861659,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,2026-08-08T23:30:04Z
